Product Name,Current Stock
Aloe Vera 100 gms,
Alphonso Mango 12 pc,
Alphonso Mango 6 pc,
Amla 250 gms,
Apple Ber 500 gms,
Arbi 250 gms,
Ash Gourd 1 pc,10
Asparagus 1 kg,
Avocado 1 pc,
Baby Corn 100 gms,
Baby Potatoes 500 gms,
Badami Mango 1 kg,
Badami Mango 2 kg,
Banana - Elaichi 500 gms,
Banana - Raw 500 gms,
Banana - Robusta 500 gms,
Basil 100 gms,
Bathua 1 Bunch,15
Beetroot 250 gms,
Beetroot 500 gms,
Bharta Brinjal 1 pc,
Bitter Gourd 250 gms,
Black Grapes 500 gms,
Black Rajma 250 gms,
Bottle Gourd 1 pc,
Broccoli 250 gms,
Brussels Sprouts 200 gms,
Brussels Sprouts 400 gms,
Button Mushroom 200 gms,
Cabbage 1 pc,
Capsicum 250 gms,
Cauliflower 1 pc,20
Celery 300 gms,
Chives 20 gms,
Chives 40 gms,20
Chuka 1 Bunch,
Cluster Beans 250 gms,
Coconut 1 pc,
Coloured Bell Peppers 1 pair,
Coriander 1 Bunch,
Cowpea Beans 250 gms,
Curry Leaves 50 gms,
Custard Apple * Rs.140/ Kg 2 pc,
Custard Apple * Rs.140/ Kg 4 pc,
Custard Apple * Rs.140/ Kg 6 pc,
Dark Green Chilli 100 gms,
Dill Leaves 1 Bunch,
Double Beans 250 gms,
Drumstick 250 gms,
Fennel Leaves 1 Bunch,
Fennel Leaves 2 Bunch,
Figs 500 gms,
Flat Beans 250 gms,
Flat Parsley 100 gms,
Flat Parsley 200 gms,
French Beans 250 gms,
Fruit Basket - Medium 1 pack,
Fruit Basket - Small 1 pack,
Fuji Apple *Rs.280/Kg 2 pc,
Galangal 100 gms,
Garlic - Peeled 100 gms,
Garlic - Unpeeled 250 gms,
Ginger 100 gms,
Grapefruit *Rs.180/kg 2 pc,
Grapefruit *Rs.180/kg 4 pc,
Green Amaranthus 1 Bunch,
Green Apple *Rs.180/kg 2 pc,
Green Cucumber 250 gms,
Green Cucumber 500 gms,
Green Grapes 500 gms,
Green Peas (Unshelled) 500 gms,
Green Tomato 500 gms,
Iceberg Lettuce 1 pc,
Imported Cherries 250 gms,
Imported Cherries 500 gms,
Imported Oranges *Rs.170/Kg 2 pc,
Imported Pear *Rs.190/Kg 2 pc,
Indian Cherries 250 gms,
Indian Pear 2 pc,
Indian Pear 4 pc,
Indian Pear 6 pc,
Jackfruit 250 gms,
Jackfruit 500 gms,
Kala Jamun 500 gms,
Kardai 1 Bunch,
Kateri Brinjal (Green) 250 gms,
Kateri Brinjal (Purple) 250 gms,
Kesar Mango 1 kg,
Kinnow Orange *Rs. 50/kg 6 pc,
Kiwi 2 pc,
Knol Khol 500 gms,
Langda Mango 1 kg,
Lemongrass 100 gms,
Light Green Chilli 100 gms,
Lime / Nimbu 6 pc,
Litchi 500 gms,
Long Capsicum 250 gms,
Longan 250 gms,
Methi 1 Bunch,
Mint 1 Bunch,
Mulberry 200 gms,
Muskmelon *Rs.45/Kg 1 pc,
Mustard Leaves (Sarson) 1 Bunch,
Nagpur Orange* Rs. 80/kg 6 pc,
Okra 250 gms,
onion 1 kg,
onion 500 gms,
Orange Carrot 250 gms,
Orange Carrot 500 gms,
Oregano 20 gms,
Pak Choy 1 pc,
Papaya *Rs.46/Kg 1 pc,
Parsley 100 gms,
Peach 500 gms,
Pink Guava 2 pc,
Pink Guava 4 pc,
Pink Guava 6 pc,
Plums 500 gms,
Pointed Gourd 250 gms,
Pomegranate *Rs.110/Kg 2 pc,
Portobello Mushroom 1 kg,
Portobello Mushroom 500 gms,
Potato 1 kg,
Potato 500 gms,
Purple Yam (Surti Kand) 500 gms,
Raw Mango (Totapuri) 500 gms,
Raw Mango 500 gms,
Raw Papaya 1 pc,
Raw Papaya 2 pc,
Raw Turmeric 250 gms,
Red Amaranthus 1 Bunch,
Red Bell Peppers 1 pair,
Red Cabbage 1 pc,
Red Carrot 500 gms,
Red Cherry Tomato 200 gms,
Red Dragon Fruit 1 pc,
Red Pumpkin 1 pc,
Red Radish 250 gms,
Red Radish 500 gms,
Ridge Gourd 250 gms,
Rosemary 20 gms,
Royal Gala Apple 2 pc,
Royal Gala Apple 4 pc,
Sage 20 gms,
Sambhar Onion 250 gms,
Shimla Apple *Rs165/Kg 2 pc,
Small Brinjal 250 gms,
Small Brinjals 250 gms,
Small Brinjals 500 gms,
Snake Gourd 250 gms,
Snow Peas 250 gms,
Snow Peas 500 gms,
Spinach 1 Bunch,
Spring Onion 1 Bunch,
Strawberry 200 gms,
Suran 1 pc (300 gms),
Sweet Corn Cobs 2 pc,
Sweet Lime *Rs.60/Kg 2 pc,
Sweet Potato 500 gms,
Sweet Tamarind 250 gms,
SweetCorn - Shelled 200 gms,
Tendli 250 gms,
Thai Brinjal 100 gms,
Thai Brinjal 200 gms,
Thai Red Chilli 100 gms,
Thai Red Chilli 200 gms,
Thyme 20 gms,
Tinda 500 gms,
Tomato 1 kg,
Tomato 500 gms,
Turnip (Salgam) 500 gms,
Val Ghevda 250 gms,
Washington Apple *Rs.210/Kg 2 pc,
Watermelon *Rs.17/Kg 1 pc,
White Cucumber 250 gms,
White Cucumber 500 gms,
White Dragon Fruit 1 pc,
White Guava *Rs.95/Kg 2 pc,
White Guava *Rs.95/Kg 4 pc,
White Guava *Rs.95/Kg 6 pc,
White Pumpkin 1 pc,
White Pumpkin 2 pc,
White Radish 500 gms,
Wood Apple 2 pc,
Yellow Capsicum 1 pair,
Yellow Capsicum 2 pair,
Yellow Cherry Tomato 200 gms,
Yellow Cherry Tomato 400 gms,
Yellow Pumpkin 1 pc (250-300 gms),
Zucchini Green 1 pc,
Zucchini Yellow 1 pc,
