Category,Product Description,Specifications,Kg/m
Square Hollow Section,SHS 12x12x0.6mm,IS:4923,0.21
Square Hollow Section,SHS 12x12x0.8mm,IS:4923,0.27
Square Hollow Section,SHS 12X12X1.0mm,IS:4923,0.33
Square Hollow Section,SHS 12x12x1.2mm,IS:4923,0.38
Square Hollow Section,SHS 12x12x1.4mm,IS:4923,0.43
Square Hollow Section,SHS 12x12x 1.6mm,IS:4923,0.47
Square Hollow Section,SHS 15x15x0.6mm,IS:4923,0.26
Square Hollow Section,SHS 15x15x0.8mm,IS:4923,0.34
Square Hollow Section,SHS 15x15x1.0mm,IS:4923,0.42
Square Hollow Section,SHS 15x15x1.2mm,IS:4923,0.49
Square Hollow Section,SHS 15x15x1.4mm,IS:4923,0.56
Square Hollow Section,SHS 15x15x1.6mm,IS:4923,0.62
Square Hollow Section,SHS 19x19x0.6mm,IS:4923,0.34
Square Hollow Section,SHS 19x19x0.8mm,IS:4923,0.44
Square Hollow Section,SHS 19x19x1.0mm,IS:4923,0.54
Square Hollow Section,SHS 19x19x1.2mm,IS:4923,0.64
Square Hollow Section,SHS 19x19x1.4mm,IS:4923,0.73
Square Hollow Section,SHS 19x19x1.6mm,IS:4923,0.82
Square Hollow Section,SHS 19x19x1.8mm,IS:4923,0.91
Square Hollow Section,SHS 19x19x2.0mm,IS:4923,0.99
Square Hollow Section,SHS 19x19x2.2mm,IS:4923,1.06
Square Hollow Section,SHS 19x19x2.4mm,IS:4923,
Square Hollow Section,SHS 20x20x0.6mm,IS:4923,0.36
Square Hollow Section,SHS 20x20x0.8mm,IS:4923,0.47
Square Hollow Section,SHS 20x20x1.0mm,IS:4923,0.58
Square Hollow Section,SHS 20x20x1.2mm,IS:4923,0.68
Square Hollow Section,SHS 20x20x1.4mm,IS:4923,0.78
Square Hollow Section,SHS 20x20x1.6mm,IS:4923,0.87
Square Hollow Section,SHS 20x20x1.8mm,IS:4923,0.96
Square Hollow Section,SHS 20x20x2.0mm,IS:4923,1.05
